District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),Departure (%)
H,Ainapur,779.7,676,-13
T,Yadrami,686.5,677.3,-1
H,Yadrami,686.5,657.7,-4
H,Ijeri,750,708.5,-6
T,Shahbadha,758.4,837.3,10
H,Shahabad,758.4,837.3,10
D,BIDAR,838.1,838.7,0
T,Aurad,854.8,643.6,-25
H,Aurad,854.8,653.3,-24
H,Chintaki,873,560.8,-36
H,Santpur,875,692.9,-21
T,Bidar,939.8,837.9,-11
H,Bidar,939.8,768.6,-18
H,Bagadhal,843.1,811.9,-4
H,Bidar South,935.1,873.6,-7
H,Janwada,909.4,868.5,-4
H,Kamthana,906.5,826.4,-9
H,Manalli,890.2,890.9,0
T,Bhalki,874.1,866.8,-1
H,Bhalki,874.1,879.4,1
H,Halburga,875.4,857.6,-2
H,Khatak Chincholi,833.2,940.7,13
H,Lakangaon,877.3,847.1,-3
H,Nittur Buzurg,873.5,847.7,-3
H,Saigaon,769.2,845.5,10
T,Basavakalyan,790.3,941.5,19
H,Basavakalyan,790.3,949.3,20
H,Kohinoor,774.8,954.5,23
H,Matala,786.9,985.4,25
H,Mudabi,778.9,928.6,19
H,Rajeshwar,813.4,890.1,9
T,Humnabad,834.2,961.6,15
H,Humnabad,834.2,995.9,19
H,Dubalgundi,822.4,938,14
H,Hallikheda,827,940,14
T,Chittaguppa,759.4,952.2,25
H,Chitguppa,759.4,886.2,17
H,Bhimalkhed,838.3,1012.9,21
H,Nirna,794.1,980.6,23
T,Kamalanagara,902.4,716.3,-21
H,Kamalnagar,902.4,613.4,-32
H,Dabaka C.,877.7,866.8,-1
H,Thanakushanur,873.4,739.2,-15
T,Hulasuru,739.3,625,-15
H,Hulsoor,739.3,625,-15
D,BELAGAVI,826.2,1165,41
T,Athani,539,642.4,19
H,Athani,539,618.2,15
H,Anantapur,516.9,649.4,26
H,Telsang,507.3,656.4,29
T,Bailhongal,816,1038.1,27
H,Bailhongal,816,979.2,20
H,Nesargi,770.7,1086.2,41
T,Belagavi,1363.1,1673.2,23
H,Belagavi,1363.1,1776.7,30
H,Hirebagevadi,1041.3,1338.5,29
H,Kakti,1130.5,1322,17
H,Uchagaon,1340.9,2302.3,72
T,Chikkodi,666,873.4,31
H,Chikkodi,666,928.2,39
H,Nagaramonnali,634.1,807.3,27
H,Sadalgi,663.4,854.2,29
T,Gokak,524.1,707.3,35
H,Gokak,524.1,755.6,44
H,Kowjalgi,537,712.1,33
H,Arbhavi,560.4,569.2,2
T,Hukkeri,648.6,1015.1,57
H,Hukkeri,648.6,781.5,20
H,Sankeswar,812.1,1184,46
H,Yamkanmardi,685.2,1081.5,58
T,Khanapur,1950.2,3018.9,55
H,Khanapur,1950.2,1977.9,1
H,Bidi,1413.4,1755.9,24
H,Gunji,2263.3,3371.4,49
H,Jamboti,1856.1,3825.7,106
T,RAMADURGA,540.4,707.7,31
H,Ramdurg,540.4,665.8,23
H,Bidki,534,685.7,28
H,Katkol,535.6,762.4,42
H,Mudkavi,542.5,700.7,29
T,Raibagh,483.1,614.1,27
H,Raibagh,483.1,610.5,26
H,Kudchi,528.9,617.6,17
T,Soundatti,568,848.1,49
H,Savadatti,568,905.1,59
H,Manoli,562,809.9,44
H,Muragoda,607.1,822.5,35
T,Kitthuru,1035.5,1387.8,34
H,Kittur,1035.5,1375.1,33
T,Nippani,838.1,1128.7,35
H,Nippani,838.1,1239.4,48
H,Sadalgi,766.8,987.8,29
T,Kagavada,540.7,882.2,63
H,Kagwad,540.7,882.2,63
T,Mudagali,533.5,637.4,19
H,Arbhavi,533.5,674.7,26
H,Kowjalgi,528.5,602.1,14
H,Yargatti,532.8,735.6,38
T,Yargatti,532.8,735.6,38
D,BAGALKOTE,582.4,602.9,4
T,Badami,599.5,599.5,0
H,Badami,599.5,557,-7
H,Kerur,569.7,615.1,8
H,Kulgeri,582.5,625.8,7
T,Bagalkote,612.6,571.6,-7
H,Bagalkote,612.6,548.2,-11
H,Kaladgi,548.1,518.8,-5
H,Rampura,611.7,642.6,5
T,Bilgi,609.5,495.3,-19
H,Bilgi,609.5,508.7,-17
H,Anagvadi,598.7,480.2,-20
T,Hungund,669.5,634.7,-5
H,Hungund,669.5,587.4,-12
H,Amingarh,632.6,696.3,10
H,Karadi,652.2,663.8,2
T,Jamkhandi,548.3,704.4,28
H,Jamakhandi,548.3,665.9,21
H,Savalagi,529.7,726.1,37
H,Terdal,542.8,793,46
T,Mudhol,532,547.6,3
H,Mudhol,532,529.4,0
H,Lokapur,472.5,566.1,20
T,Guledagudda,606.8,650.4,7
H,Guledagudda,606.8,650.4,7
T,Ilkal,651.4,658.4,1
H,Ilkal,651.4,719.6,10
H,Amingarh,636.4,593.5,-7
H,Karadi,653.8,562.9,-14
T,Rabakavi Banahatti,495.7,622.2,26
H,Terdal,495.7,616.1,24
H,Mudhol,549.7,645.8,17
D,VIJAYAPURA,591.2,621.6,5
T,BAGEVADI,668.5,594.5,-11
H,Basavana Bagewadi,668.5,604.3,-10
H,Huvin Hippargi,647.1,602.3,-7
H,Managuli,608.3,577.6,-5
T,Vijayapura,670.9,522.3,-22
H,Vijayapura,670.9,542.5,-19
H,Nagathan,392.3,493.2,26
T,Indi,620.2,649.8,5
H,Indi,620.2,636.3,3
H,Ballolli,563.4,664.4,18
T,Muddebihal,651.7,589.6,-10
H,Muddebihal,651.7,630.3,-3
H,Dhavalagi,637.9,546.1,-14
H,Nalatvad,690.6,590.4,-15
T,Sindgi,657.8,643.4,-2
H,Sindhagi,657.8,644,-2
T,Babaleshwara,544.6,639.8,17
H,Babaleshwar,544.6,652.6,20
H,Mamdapur,568.8,607.7,7
T,Chadachana,552.4,597.8,8
H,Chadchan,552.4,597.9,8
T,Nidagundi,616.4,624.6,1
H,Nidagundi,616.4,618.4,0
H,Basavana Bagewadi,630.8,565.7,-10
H,Huvin Hipprgi,628.5,649.7,3
H,Muddebihal,614.6,681,11
H,Dhavalagi,624.3,645.9,3
T,Talikote,585.8,585.5,0
H,Talikoti,585.8,632,8
H,Devarhipargi,597.5,425.5,-29
H,Dhavalagi,612.4,629.1,3
H,Huvinhippargi,602.7,594.3,-1
T,Tikota,405.5,766.4,89
H,Tikota,405.5,766.4,89
T,Kolhara,605.7,639.4,6
H,Kolhar,605.7,639.4,6
T,Devara Hipparagi,630.3,600.2,-5
H,Devar Hipparagi,630.3,586,-7
H,Huvinhiprgi,625.3,676.1,8
T,Almel,646,606.3,-6
H,Almel,646,605.9,-6
D,GADAG,624,582.8,-7
T,Gadag,658.9,567.1,-14
H,Gadag,658.9,578.3,-12
H,Betageri,655.2,558.3,-15
T,Mundargi,556.9,626.1,12
H,Mundargi,556.9,649.3,17
H,Dambal,461.7,612.8,33
T,Naragund,556.8,552.6,-1
H,Naragund,556.8,683,23
H,Konnur,583.3,376.4,-35
T,Ron,699.4,436.1,-38
H,Ron,699.4,590.8,-16
H,Hole Alur,623.2,328.5,-47
H,Nargil,668.2,365.9,-45
T,Shirahatti,688.5,704.9,2
H,Shirahatti,688.5,704.9,2
T,Gajendragad,737.1,651.3,-12
H,Rona,737.1,859.2,17
H,Nargil,660.1,579.3,-12
T,Laxmeshwar,593.6,641.1,8
H,Laxmeshwar,593.6,641.1,8
D,HAVERI,799.5,899.4,12
T,Byadgi,678.6,1002.6,48
H,Byadgi,678.6,929.5,37
H,Kaginelli,796.7,1095.9,38
T,Hanagal,1043.7,1009,-3
H,Hangal,1043.7,986.1,-6
H,Akki Alur,1067.1,982.1,-8
H,Bommanhalli,1024.3,1060.5,4
T,Haveri,777.8,756,-3
H,Haveri,777.8,841.7,8
H,Guttal,618.6,718,16
H,Karajgi,732.2,733.9,0
T,Hirekerur,856.2,961.5,12
H,Hirekerur,856.2,1001.2,17
H,Haunsbhavi,917.7,924.9,1
T,RANEBENNUR,622.6,905.9,46
H,Ranebennur,622.6,895.3,44
H,Kuppelur,707.7,830.4,17
H,Medleri,650.6,971.4,49
T,Savanur,698.9,786.2,12
H,Savanur,698.9,769.5,10
H,Hatti Mattur,716.5,800.4,12
T,Shiggaon,813.6,922.4,13
H,Shiggaon,813.6,809.7,0
H,Bankapur,808,946.2,17
H,Dhundsi,955.2,987,3
T,Ratteehalli,789.5,908.4,15
H,Rattihalli,789.5,921.6,17
H,Hirekerur,829.5,852.8,3
D,DHARWAD,787.1,890.2,13
T,Dharwad,776.9,927.8,19
H,Dharwad,776.9,1028.1,32
H,Aminbhavi,792.2,747,-6
H,Garag,908.4,969,7
T,Hubballi,771.6,732.2,-5
H,Chabbi,771.6,864.5,12
H,Shirguppi,699.1,650,-7
T,Kalghatgi,978.5,1399.6,43
H,Kalghatgi,978.5,1510.5,54
H,Dummavada,851.6,1326.5,56
H,Tabkad Honnihalli,965.1,1349.7,40
T,Kundgol,661.3,945.3,43
H,Kundgol,661.3,949.3,44
H,Saunshi,695.9,941.8,35
T,Navalgund,630.6,606.9,-4
H,Moraba,630.6,606.7,-4
T,Hubballi Nagara,745.8,544.4,-27
H,Hubballi Urban,745.8,544.5,-27
T,Alnavara,1267.4,1613.2,27
H,Alnavar,1267.4,1613.2,27
T,Annigeri,650.6,483.7,-26
H,Annigeri,650.6,483.5,-26
D,SHIVAMOGGA,2324.5,2689.5,16
T,Bhadravathi,865.7,1105.3,28
H,Bhadravathi_1,865.7,1162.6,34
H,Bhadravathi_2,936.5,1280.7,37
H,Hole Honnuru_1,882.5,1021.7,16
H,Hole Honnuru_3,845.6,1142.2,35
H,Hole Honnuru_2,799.5,931.1,16
H,Kudligere,881.6,1053.2,19
T,HOSANAGARA,3070.8,3602.8,17
H,Hosanagar,3070.8,3378,10
H,Huncha,2490.3,3227.8,30
H,Kerehalli,1764,1900.5,8
H,Nagar,5204.7,5009.6,-4
T,SAGARA,2494.5,3864.7,55
H,Sagar,2494.5,2378.4,-5
H,Anandapuram,1702.1,2218.7,30
H,Baragadde,4039.8,6101.5,51
H,Anahalli,2692.4,3279.5,22
H,Karauru,4154.3,4634.4,12
H,Talguppa,2709.9,3271.2,21
T,SHIKARIPURA,975.2,1350.4,38
H,Shikaripur,975.2,1525,56
H,Anjanapura,1170.9,1397.8,19
H,Husuru,861.4,1271.2,48
H,Udagani,1036.8,1383.3,33
H,Talagunda,1050.4,1257.8,20
T,Shivamogga,842.3,1320.9,57
H,Shivamogga_2,842.3,1128.8,34
H,Shivamogga_1,1150.4,1355.3,18
H,Haranahalli,1037.2,1069.2,3
H,Holalur_1,842.5,1133.4,35
H,Holalur_2,912.8,1094.9,20
H,Kumsi,983.9,1500.1,52
H,Nidige_1,950.8,1199.1,26
H,Nidige_2,1192.9,1573.3,32
H,Ayanuru,1043,1356.2,30
T,SORABA,1541,1849.1,20
H,Sorab,1541,1806,17
H,Anavatti,1260.8,1326.6,5
H,Chandragutti,2331.7,2550.8,9
H,Jade,1477.8,1305.1,-12
H,Kuppagadde,1417.3,1481,4
H,Ulvi,1895.2,2186.5,15
T,Tirthahalli,2866.8,3671.5,28
H,Thirthahalli,2866.8,3521.2,23
H,Agrahara,2713.1,3722.9,37
H,Agumbe,7565,5383.1,-29
H,Mandagadde,1690,2493.5,48
H,Malur,2578.7,3299.9,28
D,HASSAN,1142,1579.8,38
T,Alur,1149,1667.1,45
H,Alur,1149,1292.8,13
H,Kenchamman Hoskota,1813.9,2256.1,24
H,Kundur,1136,1260.2,11
H,Palya,1581.1,1647.4,4
T,ARKALGUD,885.3,1220.3,38
H,Arkalgud,885.3,1203,36
H,Doddamagge,898.8,1187.2,32
H,Konanuru,797.1,1199.8,51
H,Mallipatna,1246,1577.2,27
H,Ramanathapura,829.7,965.3,16
T,ARASIKERE,695.6,929.4,34
H,Arasikere,695.6,811.8,17
H,Banavara,564.5,988.4,75
H,Gandasi,661,1011.3,53
H,Javagal,934.5,934.9,0
H,Kanakatte,595.7,921.4,55
T,Belur,1022.1,1505.8,47
H,Belur,1022.1,1318.2,29
H,Arehalli,1789.6,2239.7,25
H,Bikkodu,1213.4,1830.9,51
H,Halebeedu,1305.2,1069.3,-18
H,Madihalli,1005,1265.1,26
T,Channarayapatna,689.5,1065.8,55
H,Channarayapatna,689.5,1148,66
H,Baguru,778.5,973,25
H,Dandiganahalli,692,1036.1,50
H,Hirisave,768.3,1136.8,48
H,Nuggehalli,669,996.4,49
H,Shravan Belgola,733,1147.2,57
T,Hassan,845.6,1166.4,38
H,Hassan,845.6,1147.2,36
H,Dudda,652.9,1042.2,60
H,Kattya,692.6,1218,76
H,Salagame,816.2,1370.6,68
H,Shantigrama,661.4,1109.2,68
T,HOLENARASIPURA,768.8,1081.6,41
H,Holenarasipur,768.8,1100.9,43
H,Halekote,778.4,1035,33
H,Halli Mysore,767.4,1099.5,43
T,SAKALESHPURA,2246.7,3842.6,71
H,Sakaleshpur,2246.7,3305.5,47
H,Balegodu,1789.7,2302.4,29
H,Hanbalu,2377.3,4059.7,71
H,Hettur,2218.3,4857.1,119
H,Yaslur,1783.4,3494.1,96
D,CHIKKAMAGALURU,1832.9,2250.1,23
T,CHIKKAMAGALURU,835.8,1886.2,126
H,Chikkamagaluru,835.8,1459.8,75
H,Amble,937.9,1232.6,31
H,Aldur,1642.9,2163.7,32
H,Sangmeswrpet,2338.6,2285.1,-2
H,Lakya,1283.3,1271.9,-1
H,Avathi,1340.4,2318.1,73
H,Jagar,909.4,2255.5,148
H,Vasthare,1048.2,2163.8,106
T,Kadur,638.9,953.9,49
H,Kadur,638.9,925.9,45
H,Birur,676.5,1114.1,65
H,Hirenalluru,643,876,36
H,Sakkarepatna,813.5,1010.6,24
H,Shingatagere,630.1,1010,60
H,Yagati,632.5,771.4,22
H,Panchanahalli,593.9,907.1,53
T,Koppa,2906.9,3793.1,30
H,Koppa,2906.9,3973.2,37
H,Hariharpur,3046.1,4337.2,42
H,Meguda,3121.6,3358.3,8
T,Mudigere,2315.3,3146.4,36
H,Mudigere,2315.3,2200.4,-5
H,Bankal,4139.1,3365.8,-19
H,Gonibidu,2268.2,3368.7,49
H,Baluru,3866,3287.4,-15
T,NARASIMHARAJAPURA,1609,2576,60
H,Narasimharajapur,1609,2259.8,40
H,Balehonnur,2590.1,2965.3,14
T,Sringeri,3887.2,4966.5,28
H,Sringeri,3887.2,4370.2,12
H,Kigga,4377,5160,18
T,Tarikere,914.3,1296.6,42
H,Tarikere,914.3,1281.1,40
H,Amrutapur,881.7,1177.3,34
H,Lakavalli,1256,1444.9,15
H,Lingadahalli,825.5,1275.3,54
T,Ajjampura,668.6,931.3,39
H,Ajjampura,668.6,969,45
H,Chowlahiriyur,607.1,820.9,35
H,Shivani,575.4,947.3,65
H,Amrutpura,698.2,1127.6,62
H,Hirenalluru,644.9,932.2,45
T,Kalasa,3491.3,4057,16
H,Kalasa,3491.3,4057,16
D,KODAGU,2729.4,3052.2,12
T,Madikeri,3265.2,4029.4,23
H,Madikeri,3265.2,3878,19
H,Bhagamandala,5783.9,4481,-23
H,Napoklu,2832.8,3432.1,21
H,Sampaje,4417.5,4349.4,-2
T,Somwarpet,2098.1,2728.8,30
H,Somwarpet,2098.1,2429.9,16
H,Kodlipet,1613.1,2098.3,30
H,Sanivarsante,1862.9,2017.2,8
H,Santhahalli,2294.3,3583.6,56
T,Virajpet,2467.6,2690.3,9
H,Virajpet,2467.6,3146.4,28
H,Ammati,1992.5,2423.2,22
T,Kushalanagara,978.5,2017,106
H,Kushalnagar,978.5,1952.9,100
H,Suntikoppa,1589.1,2852.8,80
T,Ponnampete,2267.2,2464.9,9
H,Ponnampet,2267.2,2055.2,-9
H,Blale,1798.5,2005.2,11
H,Hudakere,2402.7,3235.6,35
H,Srimangala,2753.2,2541.3,-8
D,DAKSHINA KANNADA,4006.4,4665.9,16
T,Beltangadi,4426.4,5133.5,16
H,Belthangady,4426.4,5007,13
H,Kokkada,4261.4,5088.9,19
H,Venur,4117.3,5465.9,33
T,Bantwal,3856.4,4255.8,10
H,Bantwal,3856.4,4550.2,18
H,Pane Mangalore,3884.9,4370.3,12
H,Vittal,3984.1,3934.1,-1
T,Mangaluru,3608.9,4025.2,12
H,Mangaluru_A,3630.7,3668.8,1
H,Gurpur,3801.3,4019.7,6
H,Suratkal,3834.2,4212,10
T,Puttur,4058.3,4262.1,5
H,Puttur,4058.3,4224.3,4
H,Uppinangadi,3939.3,4378.4,11
T,Sulya,3592,4668.5,30
H,Sullia,3592,4458.5,24
H,Panaje,4014.6,5139.6,28
T,Mudabidri,4009.5,5043.6,26
H,Mudbidri,4009.5,5043.9,26
T,Kadaba,4135.2,4759.3,15
H,Kadaba,4135.2,4858,17
H,Panaje,4214.9,4753.5,13
H,Uppinangadi,3494.9,4568.3,31
T,Mulki,3788,4180,10
H,Mulki,3788,4180,10
H,Ullala,3609.2,4038.4,12
T,Mangaluru_B,3608.9,4038.4,12
D,UDUPI,4534.6,5261.4,16
T,Karkala,4776.6,5273,10
H,Karkala,4776.6,5135,8
H,Ajekar,4755.1,5529.5,16
T,Kundapur,3786,5580.7,47
H,Kundapur,3786,4949.8,31
H,Vandse,4259.6,5915.1,39
T,Udupi,3861.5,4524.8,17
H,Udupi,3861.5,4544.7,18
H,Brahmavara,4333,4484.2,3
T,Bynduru,4428.1,5287.9,19
H,Bainduru,4428.1,5287.9,19
T,Bramhavara,4042.9,4797.1,19
H,Brahmavara,4042.9,4924.7,22
H,Kota,3524.7,4665,32
T,Kapu,3757,4388.6,17
H,Kapu,3757,4388.7,17
T,Hebri,5801.8,5920.5,2
H,Ajekar,5801.8,5847.5,1
H,Kundapur,5072.7,6173.1,22
D,UTTARA KANNADA,2936.3,3914.2,33
T,Ankola,3532.2,5292.6,50
H,Ankola,3532.2,5435.7,54
H,Belikere,3516.8,4948.7,41
H,Basagod,3438,5148.4,50
H,Blale,3363.5,5424.4,61
T,Bhatkal,4322.3,5265.1,22
H,Susgadi,4322.3,5460.4,26
H,Mavalli,4071.1,5026.7,23
T,Haliyal,1339,1494.3,12
H,Haliyal,1339,1503.9,12
H,Murkvad,1061.4,1335.8,26
H,Sambrani,1259.9,1531.1,22
H,Dandeli,1370.7,1906.4,39
T,Honnavar,3727.9,5474.7,47
H,Honnavar,3727.9,5299.1,42
H,Manki,3667.6,4908.3,34
H,Mavinakurvei,3869,5900.6,53
T,Karwar,3233.6,5042.4,56
H,Baad,3233.6,4742.6,47
H,Ghadasaya,3611.4,5325.1,47
H,Kinnar,3447.7,4999.6,45
H,Savantvada,3329.4,4361.2,31
T,Kumta,3522.6,5009,42
H,Kumta,3522.6,5503.5,56
H,Gokarna,3243.4,5080.6,57
H,Kujahalli,3977.6,5276.8,33
H,Mirjan,3525.7,4693.6,33
T,Mundgod,1437.6,1762.5,23
H,Mundgod,1437.6,1761.6,23
H,Pala,1243,1763.9,42
T,SIDDAPUR,3016,4775.5,58
H,Umbalamani,4455.6,4423.1,-1
H,Siddapura,3016,3849.5,28
H,Kodkani,3370.5,5714.1,70
T,SIRSI,2359.9,3844,63
H,Sirsi,2359.9,3111.3,32
H,Banavasi,1510.9,2332.3,54
H,Hulekal,2174.3,4275.3,97
H,Sampakanda,4140.6,5035.6,22
T,SUPA,2578.3,3602.7,40
H,Supa,2578.3,3003.2,16
H,Kasalrock,4657.9,3876.5,-17
H,Kumbarawada,3072.6,3850.1,25
T,YELLAPUR,2667.9,3061.4,15
H,Yellapur,2667.9,3650.1,37
H,Manchikeri,1989.4,2552.1,28
T,Dandelli,1539.5,2123.4,38
H,Dhandeli,1539.5,2120.8,38
D,YADGIR,718.8,736,2
T,Shahapur,848.4,702.3,-17
H,Shahpur,848.4,687.7,-19
H,Doranahlli,815.7,708.5,-13
H,Gogi,775.2,713.2,-8
H,Hayyalbuzurg,735.7,709.9,-4
T,Shorapur,722.1,694.4,-4
H,Shorapur,722.1,781.3,8
H,Kakkeri,575.8,671,17
H,Kembhavi,583.6,630.4,8
T,Yadgir,908.4,821.1,-10
H,Yadgir,908.4,902.1,-1
H,Balichakra,773.2,818.4,6
H,Hattikuni,854.5,814.1,-5
H,Saidapur,753.6,752.4,0
T,Gurumithakala,773.2,912.3,18
H,Gurmitakal,773.2,999.3,29
H,Konakal,776.1,872.4,12
H,Balichakra,762.7,832.2,9
T,Vadagera,616.9,655.4,6
H,Wadagera,616.9,611.4,-1
H,Doranahlli,715.5,755.9,6
H,Hayyala Buzurg,722.5,667.7,-8
T,Hunisigi,500.5,642.7,28
H,Hunasagi,500.5,646.4,29
H,Kodekal,621.7,628.9,1
H,Kakkera,571.4,714.6,25
D,VIJAYANAGAR,642.5,763.7,19
T,Hosapete,703.8,939.7,34
H,Hospet,703.8,881.3,25
H,Kamalapura,658.3,1002.7,52
H,Mariyammanahalli,673.1,904.9,34
T,Hadagali,641,557,-13
H,Hadagali,641,487.2,-24
H,Hirehadagalli,652.1,724.5,11
H,Ittigi,666.5,490.6,-26
T,HAGARIBOMMANAHALLI,634.6,747.8,18
H,Hagaribommanahalli,634.6,757.3,19
H,Hampa Sagara,616.9,810,31
H,Tambarahalli,627.6,823.8,31
H,Kogali,616.9,579.5,-6
T,HARAPPANAHALLI,755.1,713.5,-6
H,Harapanahalli,755.1,525.3,-30
H,Arasikere,656.3,805.2,23
H,Chigateri,761.2,747.2,-2
H,Telagi,665.5,770.3,16
T,Kotturu,533,959.2,80
H,Kotturu,533,989.4,86
H,Kogali,641.4,821.4,28
H,Hoshalli,560.4,983.4,75
T,KUDLIGI,589.8,832.4,41
H,Kudligi,589.8,903.2,53
H,Gudekote,521.4,724.3,39
H,Hosahalli,504,926.1,84
,1.SIK,714.1,874.5,22
,2.NIK,701.6,782.9,12
,3.MALNAD,1949.6,2341.9,20
,4.COASTAL,3518.3,4366.6,24
,State,1153.4,1374.7,19
